run_name,iter,key_orth_layer0,sharp_layer0,sharp_layer1,sharp_layer2,sharp_layer3,sharp_layer4,sharp_layer5
model_C_p03,500,0.2696572162210941,1.1600563108921051,1.485008069872856,1.3715201489627362,1.553169646859169,1.6993122309446336,1.779958149790764
model_C_p03,1000,0.32033147662878036,1.1680133759975433,1.6398059725761414,1.5410932004451752,1.4396844565868379,1.627249014377594,1.6396388769149781
model_C_p03,1500,0.3611950814723969,1.1144758701324462,1.8445923805236817,1.540975683927536,1.521148645877838,1.6650215804576873,1.694809663295746
model_C_p03,2000,0.3557580426335335,1.1750080347061158,1.714726585149765,1.3971943318843842,1.4333959385752677,1.532353973388672,1.4981016933917999
model_C_p03,2500,0.3694360613822937,1.2855416059494018,1.724614280462265,1.3225086122751235,1.4722960501909257,1.5753757774829864,1.5921282351016999
model_C_p03,3000,0.3680361479520798,1.3639556527137757,1.612491425871849,1.3854468032717704,1.4898039191961288,1.5857900023460387,1.6102409482002258
model_C_p03,3500,0.3730839118361473,1.3158118665218352,1.6680505216121673,1.4492486149072648,1.5927725553512573,1.6944146394729613,1.6207054078578949
model_C_p03,4000,0.4095386803150177,1.3730562567710876,1.6075052320957184,1.4445009410381318,1.6425432980060577,1.6556289494037628,1.6803651213645936
model_C_p03,4500,0.45297801643610003,1.4342453479766846,1.687269288301468,1.6008855044841765,1.6945297241210937,1.7495576679706573,1.7170764982700348
model_C_p03,5000,0.4469322025775909,1.4325444936752318,1.6300584375858307,1.5642169415950775,1.6522303760051726,1.7120637774467469,1.7479080379009246
model_C_p03,5500,0.5109042599797249,1.4781324684619903,1.5669265657663345,1.4593460857868195,1.6523305386304856,1.6561052083969117,1.729494434595108
model_C_p03,6000,0.5400519728660583,1.57393159866333,1.4611918091773988,1.5189928829669952,1.5070860773324966,1.675426536798477,1.7066103160381316
model_C_p03,6500,0.5407055765390396,1.6041896343231201,1.4147948503494263,1.3848350405693055,1.6151983559131622,1.6072358250617982,1.6431903839111328
model_C_p03,7000,0.5146757036447525,1.6025264799594878,1.354875373840332,1.444474709033966,1.5462306022644043,1.6276022374629975,1.6409769415855409
model_C_p03,7500,0.47755027413368223,1.580754393339157,1.2127695471048354,1.3792638599872589,1.5009006261825562,1.5054261028766631,1.5328514099121093
model_C_p03,8000,0.48408217132091524,1.5301118612289428,1.2952834993600846,1.2262386620044707,1.3101051867008209,1.4731771409511567,1.5428429186344146
model_C_p03,8500,0.462732769548893,1.4771989941596986,1.3938854843378068,1.1735378414392472,1.3946239650249481,1.507053941488266,1.404805415868759
model_C_p03,9000,0.4071634694933891,1.3828224956989288,1.3347713649272919,1.2591198801994323,1.3268220007419587,1.3144492566585542,1.3907288551330566
model_C_p03,9500,0.41244597136974337,1.3713913977146148,1.2539355725049972,1.1579538345336915,1.2104681968688964,1.33348750770092,1.3700172424316406
model_C_p03,10000,0.38598634004592897,1.3708132743835448,1.1724722683429718,1.2487838715314865,1.1768792688846588,1.2979345053434372,1.1937938392162324
model_C_p03,10500,0.36264362186193466,1.3435896337032318,1.2046355307102203,1.2562171190977096,1.163895493745804,1.2347460120916367,1.2219835758209228
model_C_p03,11000,0.3280582293868065,1.3759561359882355,1.1784554839134216,1.2845778673887254,1.1834678292274474,1.2097240686416626,1.2380474656820297
model_C_p03,11500,0.31363700032234193,1.3392780482769013,1.2615019887685777,1.2067662686109544,1.2101816952228546,1.2490057796239853,1.2600373774766922
model_C_p03,12000,0.3068539470434189,1.3255580902099608,1.1986984401941299,1.2663652390241622,1.2994637787342072,1.2920891523361206,1.2475518047809602
model_C_p03,12500,0.29389289021492004,1.3303540408611298,1.21384654045105,1.1846934109926224,1.2863243639469146,1.3040319979190826,1.2887898236513138
model_C_p03,13000,0.26524149179458617,1.37937331199646,1.3252425968647004,1.3236429691314697,1.321903920173645,1.3572599112987518,1.380819994211197
model_C_p03,13500,0.2382755197584629,1.419800353050232,1.3499867498874665,1.2258793532848358,1.2808347940444946,1.4012315928936006,1.4096189379692077
model_C_p03,14000,0.2234734021127224,1.4102521896362306,1.3935034155845643,1.2578014433383942,1.3741076171398163,1.4690686345100403,1.4469239592552186
model_C_p03,14500,0.220345838367939,1.4081045985221863,1.3173077404499054,1.2061516672372818,1.37064648270607,1.5198071539402007,1.4735186696052551
model_C_p03,15000,0.21478847563266754,1.3937141001224518,1.357285302877426,1.2515853643417358,1.3541720032691955,1.494557374715805,1.482090997695923
model_C_p03,15500,0.21402099430561067,1.3993257462978363,1.3297521591186523,1.1963924825191499,1.3819014251232147,1.5010313272476197,1.4787761211395263
model_C_p03,16000,0.2085102379322052,1.4218483924865724,1.462256169319153,1.303607165813446,1.4242930233478546,1.493763303756714,1.5142042815685273
model_C_p03,16500,0.20552064701914788,1.415307527780533,1.4722259581089019,1.296733057498932,1.3957974135875701,1.5349590301513671,1.4903437733650207
model_C_p03,17000,0.2115235909819603,1.4453899800777434,1.3730747699737549,1.2980642557144164,1.3933087944984437,1.4846571445465089,1.4641356825828553
model_C_p03,17500,0.20532240495085716,1.4705092549324035,1.3057248502969743,1.2825841784477234,1.4337758481502534,1.534772229194641,1.4994271516799926
model_C_p03,18000,0.2043280355632305,1.4200402736663817,1.3802255511283874,1.344005137681961,1.426389867067337,1.4777372062206269,1.44018993973732
model_C_p03,18500,0.20676639899611474,1.4329085409641267,1.3833523869514466,1.2970952033996581,1.4880721628665925,1.4941367506980896,1.5108493149280549
model_C_p03,19000,0.20614383965730668,1.4472583472728728,1.3352872490882874,1.3771821916103364,1.5009049713611602,1.5653161525726318,1.5156618118286134
model_C_p03,19500,0.20367097705602646,1.458911520242691,1.4133524656295777,1.361643099784851,1.4514043867588042,1.5357798337936401,1.4637195765972137
model_C_p03,20000,0.2000239111483097,1.4374323189258575,1.3033594071865082,1.3592385172843933,1.431211531162262,1.5243131160736083,1.5028541386127472
model_C_p03,30000,0.19187384024262427,1.429069495201111,1.4377319753170013,1.4744463980197906,1.5157775640487672,1.5359347641468049,1.3883127570152283
model_C_p03,40000,0.1634656682610512,1.4394240379333496,1.4349736750125885,1.5650836408138276,1.5026242434978485,1.4948039531707764,1.3979193925857545
model_C_p03,50000,0.1612178221344948,1.4261537194252014,1.4976555824279785,1.5386297583580018,1.5322628498077393,1.4487121641635894,1.4468930959701538
model_C_p03,60000,0.14232861511409284,1.421766310930252,1.394905573129654,1.4778781890869142,1.4538784325122833,1.4214567601680757,1.3063048481941224
model_C_p03,70000,0.13033094629645348,1.3946212351322174,1.4174105763435363,1.470317441225052,1.4246785521507264,1.4199019610881805,1.2027377963066102
