run_name,iter,key_orth_layer0,sharp_layer0,sharp_layer1,sharp_layer2,sharp_layer3,sharp_layer4,sharp_layer5
model_A_matched_p03,500,0.3018486976623535,1.788124918937683,1.9123562633991242,1.8712330162525177,1.5966590136289596,1.824500036239624,1.8328972935676575
model_A_matched_p03,1000,0.3928892776370049,1.9800504982471465,1.673752063512802,2.0918285250663757,1.903255444765091,2.047721356153488,2.225946992635727
model_A_matched_p03,1500,0.4774431839585304,2.093394434452057,1.5763335317373275,2.2089760661125184,2.02608500123024,2.197870743274689,2.331307113170624
model_A_matched_p03,2000,0.5691819727420807,2.072270917892456,1.8068586528301238,1.9724169492721557,2.0986285269260407,2.0082819402217864,2.311695420742035
model_A_matched_p03,2500,0.4827540308237076,2.039294010400772,1.8813073813915253,2.059541755914688,2.0571555495262146,1.9411185264587403,2.307318150997162
model_A_matched_p03,3000,0.36910377740859984,1.9562130331993104,1.9087887406349182,1.8484149754047394,2.238807940483093,2.0332998275756835,2.265009844303131
model_A_matched_p03,3500,0.34635878056287767,1.938528937101364,1.862136560678482,1.896763151884079,2.2652544140815736,2.0959171414375306,2.2209936141967774
model_A_matched_p03,4000,0.346318219602108,1.9402036905288695,1.8726388037204742,1.9453402757644653,2.0498529434204102,2.0816956043243406,2.1364095509052277
model_A_matched_p03,4500,0.3685891553759575,1.9478687822818757,1.9530120193958282,1.8918414533138275,1.8957735478878022,1.903597342967987,2.0266365826129915
model_A_matched_p03,5000,0.3594566136598587,1.9302273035049438,1.9205599963665008,1.8345933735370636,1.7772932171821594,1.8435314178466797,1.980688613653183
model_A_matched_p03,5500,0.3423378527164459,1.9231067955493928,1.8917032778263092,1.8484733641147613,1.5984639763832091,1.7435652434825897,1.9100836515426636
model_A_matched_p03,6000,0.3275734975934029,1.9338807046413422,1.8463637769222259,1.8785849273204804,1.5525468349456788,1.7403797268867494,1.7973826229572296
model_A_matched_p03,6500,0.2932739153504372,1.911061692237854,1.891252052783966,1.8278791427612304,1.4899494767189025,1.700402694940567,1.8176920771598817
model_A_matched_p03,7000,0.27688934206962584,1.9097948312759399,1.9191803812980652,1.790237659215927,1.3818901419639587,1.4976026892662049,1.7244371891021728
model_A_matched_p03,7500,0.27003314048051835,1.9008488833904267,1.8922426581382752,1.8158440351486207,1.5508435904979705,1.6298636972904206,1.749688184261322
model_A_matched_p03,8000,0.27364477068185805,1.9606208086013794,1.8763874053955079,1.8067143082618713,1.496305423974991,1.6670271158218384,1.735738956928253
model_A_matched_p03,8500,0.2652454286813736,1.9637485682964324,1.8800708532333374,1.8396893203258515,1.6307496786117555,1.6511408150196076,1.7186465799808501
model_A_matched_p03,9000,0.26324402913451195,1.9871633172035217,1.8937898218631743,1.86240234375,1.4836167573928833,1.6634450078010559,1.7074484705924988
model_A_matched_p03,9500,0.2643838033080101,1.9840691089630127,1.8496716022491455,1.8474614143371582,1.4878707110881806,1.5290516078472138,1.5891234159469605
model_A_matched_p03,10000,0.26854716837406156,2.0092472612857817,1.8801625430583955,1.8482910215854644,1.6926777720451356,1.555515819787979,1.6138501465320587
model_A_matched_p03,10500,0.2684187188744545,2.0168700933456423,1.7803272426128387,1.7977662444114686,1.5527604401111603,1.6289694428443908,1.6605323612689973
model_A_matched_p03,11000,0.27011542618274687,2.0127371549606323,1.7975646317005158,1.8090842604637145,1.4596252858638763,1.400541353225708,1.668185257911682
model_A_matched_p03,11500,0.2765297755599022,2.014338505268097,1.7538435518741609,1.6854414641857147,1.284968900680542,1.5232651293277741,1.5183481633663178
model_A_matched_p03,12000,0.28146388828754426,2.0618596971035004,1.7846145927906036,1.6579883396625519,1.416358894109726,1.491650801897049,1.585755044221878
model_A_matched_p03,12500,0.2696767345070839,2.0451064467430116,1.6864072322845458,1.7394666075706482,1.341387677192688,1.5359662532806397,1.5053267121315002
model_A_matched_p03,13000,0.2650065071880817,2.04318054318428,1.8544972479343413,1.6985585331916808,1.170089766383171,1.5315788209438324,1.5692635297775268
model_A_matched_p03,13500,0.2631686106324196,2.0351318061351775,1.766745573282242,1.640581077337265,1.2015855461359024,1.4948777854442596,1.564311820268631
model_A_matched_p03,14000,0.2393626593053341,1.9920770049095153,1.6039597868919373,1.4175568580627442,1.1451884090900422,1.4770681142807007,1.3867468774318694
model_A_matched_p03,14500,0.235517767816782,1.972971498966217,1.7418546497821807,1.5431979656219483,1.1661399632692337,1.4278949320316314,1.4095842659473419
model_A_matched_p03,15000,0.22701291963458062,1.9745002746582032,1.7210767328739167,1.6575489282608031,1.1956202656030654,1.4913731038570404,1.4464459657669066
model_A_matched_p03,15500,0.22181643694639205,1.961109882593155,1.6888661503791809,1.5302585542201996,1.1812399268150329,1.530252492427826,1.3979848504066468
model_A_matched_p03,16000,0.21964361667633056,1.9565136849880218,1.6817233622074128,1.5289581358432769,1.1757491886615754,1.5321003437042235,1.4387144029140473
model_A_matched_p03,16500,0.21911801546812057,1.9541342556476593,1.7435739040374756,1.5628147959709167,1.2036611318588257,1.4593316078186036,1.4229714691638946
model_A_matched_p03,17000,0.21571314781904222,1.9748536229133606,1.772961038351059,1.5060262143611909,1.2183455586433412,1.4766714036464692,1.4141738355159759
model_A_matched_p03,17500,0.21262904852628708,1.9609708428382873,1.8180273175239563,1.5430152654647826,1.2744218826293945,1.4922650039196015,1.4157588243484498
model_A_matched_p03,18000,0.2138267084956169,1.9686689376831055,1.758540278673172,1.5205919027328492,1.1704903662204742,1.5171069979667664,1.4143205344676972
model_A_matched_p03,18500,0.20577588453888893,1.9338491976261138,1.7781907379627229,1.4660642206668855,1.2231735974550246,1.4491097033023834,1.4539246141910553
model_A_matched_p03,19000,0.19869005158543587,1.8965156197547912,1.8126591205596925,1.4821731567382812,1.1980294823646545,1.4851494491100312,1.4718217432498932
model_A_matched_p03,19500,0.19669749289751054,1.8881358563899995,1.8372453153133392,1.589399939775467,1.2615187048912049,1.6034038066864014,1.5062380611896515
model_A_matched_p03,20000,0.19886574149131775,1.8537523567676544,1.7882409989833832,1.4826408803462983,1.335141909122467,1.6427481293678283,1.41839941740036
model_A_matched_p03,30000,0.15886033549904824,1.7421670734882355,1.902079200744629,1.8390465021133422,1.9413399875164032,1.9434057235717774,1.4481806099414825
model_A_matched_p03,40000,0.16411423310637474,1.6928153216838837,1.8489758133888246,2.059945660829544,2.0683276534080504,2.0242957770824432,1.3704916477203368
model_A_matched_p03,50000,0.1521300345659256,1.6533923208713532,1.8433255076408386,2.052963489294052,2.041867160797119,2.018671530485153,1.3468365371227264
model_A_matched_p03,60000,0.13981061577796935,1.5328579664230346,1.7990458011627197,2.0171907782554626,2.131812274456024,2.0548068463802336,1.266905778646469
model_A_matched_p03,70000,0.14058368802070617,1.5213359355926515,1.8624683678150178,2.067593502998352,2.1263136506080627,2.026311320066452,1.3310939908027648
model_A_matched_p03,80000,0.14197664707899094,1.516823273897171,1.915489089488983,2.073710823059082,2.150793933868408,2.0349586248397826,1.28885115981102
model_A_matched_p03,90000,0.12861171141266822,1.5661390662193297,1.7780294001102448,1.9484491348266602,1.9741055190563201,1.9268691122531891,1.3760879576206206
model_A_matched_p03,100000,0.13841831609606742,1.6085132360458374,1.8225157678127288,1.9938910901546478,1.9007776618003844,1.9973583042621612,1.3419253885746003
